date,LabID,Year,Month,LABPH,SPCOND,CA,MG,Sodium,K,NH4,SO4,NO3,CL,WSOC,LWC,Hplus
7/28/1994 18:00,,1994,7,4.6,15.8,0.499,0.823,0.87,0.2557,10.00008,21.0383,8.7156,0.5642,,1.26,25.11886432
7/28/1994 19:00,,1994,7,4.38,26,0.499,0.823,0.87,0.2557,15.00012,41.4517,10.8138,0.8463,,0.83,41.68693835
7/28/1994 20:00,,1994,7,4.3,26.8,0.499,0.823,0.87,0.2557,16.11124,49.7837,12.7506,0.8463,,0.5,50.11872336
7/29/1994 9:57,,1994,7,4.78,18.1,18.962,4.938,0.87,1.0228,31.11136,43.9513,24.8556,1.9747,,0.01,16.59586907
7/30/1994 12:00,,1994,7,2.85,700.1,44.411,15.637,14.355,3.8355,541.671,954.014,1065.079,53.8811,,0.22,1412.537545
7/30/1994 12:50,,1994,7,2.97,547.6,18.962,9.053,13.485,3.3241,439.448,854.03,661.0944,40.6224,,0.25,1071.519305
7/30/1994 18:47,,1994,7,3.12,404,21.956,4.938,3.48,4.0912,517.7819,1010.255,217.2444,22.0038,,0.18,758.577575
7/31/1994 8:00,,1994,7,3.45,233.3,52.894,8.23,5.655,4.6026,685.0055,506.169,348.7854,19.1828,,0.17,354.8133892
8/2/1994 8:00,,1994,8,2.68,819.5,150.199,35.389,8.265,8.9495,1257.232,2416.28,986.3154,87.1689,,0.25,2089.296131
8/2/1994 9:00,,1994,8,2.64,1063.4,170.159,40.327,8.7,8.4381,1392.789,2562.09,1065.079,92.2467,,0.21,2290.867653
8/2/1994 9:50,,1994,8,2.55,1072.3,181.636,44.442,8.7,8.6938,1421.678,2624.58,1079.282,94.5035,,0.11,2818.382931
8/2/1994 11:00,,1994,8,3.13,712.8,150.698,52.672,6.525,7.671,1307.233,2005.929,583.2996,45.9823,,0.11,741.3102413
8/2/1994 12:00,,1994,8,3.35,355.8,44.411,13.991,2.175,2.8127,467.226,981.093,235.1598,16.6439,,0.46,446.6835922
8/2/1994 13:00,,1994,8,3.37,298.6,12.475,4.115,1.305,1.5342,346.6694,631.149,107.1696,7.8988,,0.4,426.5795188
8/2/1994 13:50,,1994,8,3.24,331.1,14.471,4.938,1.74,2.3013,476.6705,924.852,129.4428,8.7451,,0.37,575.4399373
8/2/1994 15:00,,1994,8,3.35,260.9,13.972,4.938,2.175,2.0456,417.2256,729.05,125.7306,8.1809,,0.47,446.6835922
8/2/1994 16:00,,1994,8,3.37,252.7,11.477,2.469,1.305,1.7899,358.3362,681.141,100.7136,5.642,,0.39,426.5795188
8/2/1994 16:20,,1994,8,3.33,296,18.463,4.115,1.74,3.8355,270.0022,814.453,134.4462,9.0272,,0.34,467.7351413
8/2/1994 17:05,,1994,8,3.48,203.6,13.972,3.292,1.305,2.8127,370.003,543.663,108.6222,6.4883,,0.42,331.1311215
8/2/1994 19:00,,1994,8,3.42,237.5,18.962,4.115,1.74,2.557,379.4475,647.813,134.4462,7.6167,,0.38,380.1893963
8/2/1994 20:00,,1994,8,3.55,218.8,16.467,3.292,1.74,2.8127,312.7803,514.501,110.7204,6.4883,,0.35,281.8382931
8/2/1994 21:00,,1994,8,3.36,287.8,31.936,7.407,2.175,3.3241,617.7827,774.876,165.1122,10.4377,,0.23,436.5158322
8/2/1994 22:00,,1994,8,3.49,203.6,21.956,5.761,1.305,2.0456,335.5582,526.999,123.6324,7.6167,,0.51,323.5936569
8/2/1994 23:00,,1994,8,3.01,580.3,64.371,17.283,3.915,5.3697,1128.342,1506.009,345.8802,25.6711,,0.3,977.237221
8/2/1994 0:00,,1994,8,3.2,351,30.938,9.053,1.74,2.557,437.7813,854.03,220.1496,12.9766,,0.49,630.9573445
8/3/1994 0:54,,1994,8,3.36,252.7,23.453,7.407,1.305,1.7899,325.0026,604.07,149.4564,8.7451,,0.8,436.5158322
8/3/1994 8:00,,1994,8,3.47,204.8,17.964,6.584,1.74,2.3013,342.2249,441.596,161.5614,8.463,,0.59,338.8441561
8/3/1994 9:00,,1994,8,3.3,321.8,39.421,13.168,3.045,4.3469,562.2267,808.204,231.609,14.105,,0.32,501.1872336
8/4/1994 9:00,,1994,8,3.3,298.4,50.898,15.637,2.61,4.0912,529.4487,718.635,256.626,18.9007,,0.62,501.1872336
8/4/1994 9:45,,1994,8,3.19,381.4,59.381,18.106,3.045,5.6254,623.3383,976.927,293.1024,22.2859,,0.45,645.654229
8/5/1994 9:00,,1994,8,4.35,44.8,5.988,3.292,0.87,0.5114,35.00028,57.4908,36.315,1.9747,,0.23,44.66835922
8/5/1994 9:57,,1994,8,4.9,20.5,1.497,0.823,0.87,0.5114,8.3334,13.3312,9.8454,0.5642,,0.42,12.58925412
8/5/1994 11:00,,1994,8,4.99,15.8,0,0.823,0.87,0.2557,2.7778,3.5411,5.1648,0.5642,,0.71,10.23292992
8/5/1994 12:00,,1994,8,4.71,22.9,0.499,0.823,0.87,0.5114,7.77784,10.2067,11.9436,0.8463,,1.01,19.498446
8/5/1994 13:00,,1994,8,4.89,28.2,0.499,0.823,0.87,0.5114,6.66672,7.2905,8.2314,0.5642,,1.21,12.88249552
8/5/1994 14:00,,1994,8,4.85,27.6,1.996,0.823,0.87,0.7671,17.77792,10.2067,14.2032,1.6926,,0.94,14.12537545
8/5/1994 15:00,,1994,8,4.89,27.6,2.495,0.823,2.175,1.0228,26.11132,10.8316,17.4312,2.821,,0.67,12.88249552
8/5/1994 16:00,,1994,8,5.13,25.7,3.493,0.823,2.61,1.0228,26.66688,8.332,20.175,3.1031,,0.53,7.413102413
8/5/1994 17:00,,1994,8,5.33,27.4,5.489,1.646,2.61,1.0228,35.55584,9.5818,22.596,3.3852,,0.47,4.677351413
8/5/1994 18:00,,1994,8,5.2,34.6,9.98,2.469,3.915,1.5342,79.44508,10.6233,31.3116,5.0778,,0.38,6.309573445
8/5/1994 19:00,,1994,8,5.5,46.8,22.455,4.115,6.525,2.3013,102.223,14.1644,43.4166,7.8988,,0.29,3.16227766
8/9/1994 12:40,,1994,8,3.64,200.4,227.544,58.433,17.4,39.1221,233.3352,556.161,223.0548,20.0291,,0.06,229.0867653
8/9/1994 14:00,,1994,8,2.91,679.7,121.257,28.805,15.225,10.7394,871.6736,1837.206,513.252,48.5212,,0.2,1230.268771
8/9/1994 17:00,,1994,8,3.03,520.7,90.319,19.752,6.525,5.114,928.3408,1385.195,336.6804,27.9279,,0.21,933.2543008
8/9/1994 18:00,,1994,8,3.08,475,101.297,19.752,4.785,4.0912,659.4497,1249.8,278.0922,23.4143,,0.36,831.7637711
8/9/1994 20:03,,1994,8,3.79,115,48.403,7.407,2.175,2.3013,256.6687,302.035,85.7034,5.642,,0.48,162.1810097
8/9/1994 0:00,,1994,8,4.56,31.5,11.976,1.646,1.305,0.7671,26.66688,41.0351,21.9504,1.6926,,1,27.54228703
8/10/1994 0:46,,1994,8,4.64,30.3,9.481,1.646,0.87,0.5114,21.11128,35.411,16.14,1.1284,,1.21,22.90867653
8/10/1994 1:43,,1994,8,4.85,10.1,6.487,0.823,1.74,0.5114,10.00008,20.2051,9.5226,0.8463,,1.45,14.12537545
8/10/1994 2:51,,1994,8,4.88,22.1,3.493,0.823,0.87,0.5114,7.22228,13.9561,8.7156,0.5642,,1.2,13.18256739
8/10/1994 3:07,,1994,8,4.86,19.7,2.994,0.823,1.305,0.5114,5.00004,11.4565,8.07,0.8463,,1.22,13.80384265
8/10/1994 5:00,,1994,8,4.69,18.3,2.495,0.823,3.48,0.5114,5.00004,11.6648,8.5542,1.6926,,0.95,20.41737945
8/10/1994 5:45,,1994,8,4.76,16.2,4.491,1.646,5.22,1.0228,5.00004,14.3727,10.6524,3.1031,,0.46,17.37800829
8/11/1994 7:00,,1994,8,4.73,81.5,221.057,17.283,15.66,3.8355,221.6684,227.047,134.4462,16.0797,,0.13,18.62087137
8/11/1994 8:00,,1994,8,4.86,103.8,4.99,0.823,0.87,4.8583,273.3355,310.367,203.0412,20.0291,,0.14,13.80384265
8/11/1994 9:00,,1994,8,4.14,93.3,157.185,24.69,6.96,3.0684,201.6683,113.1069,269.538,11.8482,,0.25,72.44359601
8/11/1994 9:40,,1994,8,4.03,101,108.283,28.805,5.655,3.0684,189.446,123.9385,254.5278,10.7198,,0.42,93.32543008
8/11/1994 10:55,,1994,8,4.02,120.6,163.173,55.141,10.44,9.9723,25.55576,205.5921,286.6464,14.3871,,0.07,95.4992586
8/12/1994 20:00,,1994,8,3.67,148.3,28.443,9.053,2.175,2.0456,227.7796,343.695,85.7034,6.7704,,1,213.796209
8/12/1994 21:00,,1994,8,3.5,187.1,26.447,7.407,1.74,1.5342,211.6684,435.347,106.524,8.463,,1,316.227766
8/12/1994 22:00,,1994,8,3.04,474.4,38.922,9.053,2.61,2.3013,379.4475,1031.085,313.116,31.5952,,1,912.0108394
8/12/1994 22:32,,1994,8,3.04,454.3,27.944,6.584,2.175,2.0456,343.3361,962.346,306.66,32.4415,,1,912.0108394
8/13/1994 10:00,,1994,8,3.38,203.7,13.473,3.292,1.74,1.7899,311.6692,568.659,127.1832,9.5914,,1,416.8693835
8/13/1994 11:00,,1994,8,3.29,255.8,11.976,2.469,1.74,1.7899,342.7805,695.722,145.0986,12.1303,,1,512.861384
8/13/1994 12:00,,1994,8,3.08,387.8,17.465,3.292,2.61,2.3013,451.6703,1058.164,213.6936,16.926,,1,831.7637711
8/13/1994 13:00,,1994,8,2.96,511.6,24.95,4.938,3.48,2.8127,530.5598,1391.444,283.0956,20.8754,,1,1096.478196
8/13/1994 13:50,,1994,8,2.95,526.7,24.95,5.761,3.48,3.0684,572.2268,1431.021,282.2886,21.4396,,1,1122.018454
8/13/1994 15:00,,1994,8,3.27,250,6.986,1.646,1.74,1.2785,272.78,676.975,110.0748,6.2062,,1,537.0317964
8/13/1994 15:34,,1994,8,3.63,110.9,2.495,0.823,0.87,0.5114,118.3343,293.703,46.9674,2.5389,,1,234.4228815
8/13/1994 18:00,,1994,8,4.12,31.7,1.996,0.823,0.87,0.5114,48.88928,96.6512,25.1784,1.4105,,1,75.8577575
8/13/1994 18:53,,1994,8,4.3,23.3,0.998,0.823,0.87,0.5114,47.2226,74.5714,16.3014,1.1284,,1,50.11872336
8/14/1994 0:00,,1994,8,4.37,,117.764,25.513,10.44,5.114,82.77844,136.0199,110.0748,10.7198,,0.86,42.65795188
8/31/1994 13:00,,1994,8,3.9,,7.984,1.646,0.87,0.7671,61.1116,135.8116,67.3038,6.4883,,0,125.8925412
8/31/1994 14:00,,1994,8,3.7,,2.994,0.823,0.87,0.5114,62.77828,182.8874,90.7068,6.7704,,0,199.5262315
8/31/1994 15:00,,1994,8,3.6,,2.495,0.823,0.87,0.5114,75.0006,231.213,101.5206,6.7704,,0,251.1886432
8/31/1994 16:00,,1994,8,3.65,,1.497,0.823,0.87,0.5114,59.44492,207.8834,85.0578,5.642,,0,223.8721139
8/31/1994 17:00,,1994,8,3.69,,0.998,0.823,0.87,0.5114,57.22268,198.0933,74.4054,5.0778,,0,204.1737945
8/31/1994 18:00,,1994,8,3.58,,0.998,0.823,0.87,0.5114,68.33388,247.877,87.963,6.2062,,0,263.0267992
8/31/1994 19:00,,1994,8,3.59,,0.998,0.823,1.305,1.2785,70.55612,237.462,90.7068,7.0525,,0,257.0395783
8/31/1994 19:20,,1994,8,3.36,,1.996,0.823,0.87,0.7671,93.33408,385.355,166.5648,14.105,,0,436.5158322
9/1/1994 19:15,,1994,9,4.33,,190.618,22.221,19.575,10.228,274.4466,264.541,168.0174,24.8248,,0.11,46.77351413
9/1/1994 21:00,,1994,9,5.63,,125.748,13.991,9.57,4.0912,200.5572,68.3224,79.4088,10.1556,,0.31,2.344228815
9/1/1994 21:25,,1994,9,5.6,,142.714,13.168,10.875,4.0912,157.779,50.2003,60.3636,9.0272,,0.33,2.511886432
9/7/1994 7:25,,1994,9,4.42,53.36,28.443,4.938,1.305,1.0228,35.55584,73.7382,30.8274,3.1031,,1.09,38.01893963
9/7/1994 9:00,,1994,9,4.01,71.53,5.988,2.469,0.87,0.5114,45.00036,133.312,27.5994,1.6926,,0.99,97.7237221
9/7/1994 10:00,,1994,9,4.25,47.95,2.495,0.823,0.87,0.2557,23.88908,68.1141,16.3014,1.1284,,1.01,56.23413252
9/7/1994 11:00,,1994,9,4.1,61.06,1.996,0.823,0.87,0.5114,32.22248,94.5682,25.824,1.4105,,1.01,79.43282347
9/7/1994 12:00,,1994,9,4.05,60.6,1.996,1.646,0.87,0.5114,42.77812,109.1492,30.666,1.4105,,0.89,89.12509381
9/7/1994 13:00,,1994,9,4.21,53.01,1.497,0.823,0.87,0.5114,33.88916,80.4038,21.6276,0.8463,,0.7,61.65950019
9/7/1994 14:00,,1994,9,4.08,54.74,2.994,0.823,0.87,0.7671,91.6674,97.4844,48.42,1.4105,,0.78,83.17637711
9/7/1994 15:00,,1994,9,4.06,73.14,2.994,1.646,0.87,1.5342,99.44524,103.7334,48.42,1.9747,,0.62,87.096359
9/7/1994 16:00,,1994,9,4.26,50.02,2.495,0.823,0.87,1.0228,72.77836,73.3216,31.3116,1.1284,,0.75,54.95408739
9/7/1994 17:00,,1994,9,4.51,31.85,1.497,0.823,0.87,0.5114,2.7778,38.3272,9.8454,0.5642,,0.78,30.90295433
9/7/1994 18:00,,1994,9,4.56,31.05,0.998,0.823,0.87,0.2557,8.88896,33.5363,3.8736,0.5642,,0.86,27.54228703
9/7/1994 18:46,,1994,9,4.63,34.73,0.998,0.823,0.87,0.2557,6.66672,27.9122,3.0666,0.5642,,0.78,23.44228815
9/8/1994 10:00,,1994,9,4,82.34,19.461,5.761,1.305,3.5798,654.4497,145.3934,45.8376,4.5136,,0.48,100
9/8/1994 11:00,,1994,9,4.1,82.11,11.477,4.115,0.87,2.0456,75.55616,113.9401,37.122,3.1031,,0.53,79.43282347
9/8/1994 12:00,,1994,9,4.01,75.44,18.463,6.584,1.74,3.3241,107.2231,140.3942,53.4234,4.7957,,0.31,97.7237221
9/8/1994 20:00,,1994,9,4.5,78.2,97.804,17.283,4.35,9.4609,205.0016,137.8946,130.0884,9.3093,,0.31,31.6227766
9/8/1994 20:18,,1994,9,4.93,56.81,61.876,8.23,2.175,4.6026,127.2232,72.6967,71.3388,4.7957,,0.62,11.74897555
9/9/1994 3:00,,1994,9,4.07,107.525,117.265,13.991,3.045,5.8811,187.7793,148.5179,208.6902,8.463,,0.53,85.11380382
9/9/1994 3:08,,1994,9,3.82,125.465,60.878,15.637,2.175,4.3469,171.668,164.1404,207.2376,8.7451,,0.95,151.3561248
9/9/1994 9:30,,1994,9,4.18,60.375,8.483,3.292,0.87,1.2785,68.88944,88.9441,45.0306,2.5389,,1.1,66.0693448
9/9/1994 10:00,,1994,9,4.17,108.79,20.958,7.407,1.305,2.8127,117.7787,161.2242,75.6966,5.0778,,1.07,67.60829754
9/9/1994 15:10,,1994,9,3.97,31.625,8.982,4.115,0.87,1.5342,58.88936,36.8691,13.719,1.9747,,0.11,107.1519305
9/9/1994 17:00,,1994,9,5.45,45.31,67.864,14.814,0.87,4.6026,0.55556,62.0734,31.7958,6.4883,,0.11,3.548133892
9/10/1994 14:00,,1994,9,5.63,42.09,63.373,13.991,2.175,3.5798,252.7798,33.5363,30.666,5.3599,,0.15,2.344228815
9/10/1994 15:00,,1994,9,5.78,27.14,27.445,7.407,0.87,1.7899,70.55612,16.4557,17.9154,2.2568,,0.17,1.659586907
9/12/1994 10:00,,1994,9,4.91,31.4,19.461,6.584,0.87,1.0228,140.5567,39.7853,6.7788,1.4105,,0.53,12.30268771
9/12/1994 18:00,,1994,9,3.72,164.8,129.74,30.451,4.785,7.1596,337.2249,477.007,138.6426,11.0019,,0.25,190.5460718
9/12/1994 18:32,,1994,9,3.82,139.8,127.245,23.867,3.915,4.3469,334.4471,347.861,160.7544,9.3093,,0.52,151.3561248
9/12/1994 21:00,,1994,9,4.45,55.5,36.926,8.23,0.87,1.0228,115.0009,90.8188,68.2722,3.3852,,1.03,35.48133892
9/12/1994 22:00,,1994,9,3.94,105.2,86.826,18.106,2.61,2.3013,225.0018,158.7246,243.0684,6.4883,,1.1,114.8153621
9/12/1994 23:00,,1994,9,4.02,100.5,86.826,22.221,2.175,2.3013,235.5574,173.3056,208.0446,8.463,,1.11,95.4992586
9/12/1994 0:00,,1994,9,3.98,101.5,77.345,19.752,1.74,2.3013,202.2238,181.221,188.031,7.6167,,1.22,104.7128548
9/13/1994 1:00,,1994,9,4.02,89.1,68.363,15.637,1.305,1.7899,175.0014,168.723,146.5512,5.9241,,1.39,95.4992586
9/13/1994 2:00,,1994,9,4.07,82.5,58.383,12.345,1.305,1.7899,147.2234,163.9321,119.436,5.0778,,1.47,85.11380382
9/13/1994 2:52,,1994,9,4.08,79.6,44.91,10.699,1.305,1.7899,127.2232,150.6009,98.6154,4.2315,,1.55,83.17637711
9/14/1994 12:00,,1994,9,4.15,72.1,24.95,8.23,3.045,3.3241,105.5564,140.8108,47.9358,3.1031,,0.33,70.79457844
9/14/1994 13:00,,1994,9,4.1,68,15.968,5.761,2.175,3.3241,110.0009,131.6456,56.1672,4.2315,,0.47,79.43282347
9/14/1994 17:00,,1994,9,4.02,87,14.97,4.938,5.655,4.6026,173.3347,174.3471,77.1492,4.5136,,0.54,95.4992586
9/14/1994 17:55,,1994,9,3.96,89.1,14.471,4.938,5.655,3.3241,135.0011,157.0582,81.507,3.9494,,0.69,109.6478196
9/14/1994 18:37,,1994,9,3.88,99.7,23.453,5.761,8.7,4.6026,155.5568,162.2657,117.1764,5.9241,,0.56,131.8256739
9/16/1994 6:00,,1994,9,3.58,235.4,198.103,49.38,51.765,15.8534,497.2262,487.422,515.9958,30.4668,,0.13,263.0267992
9/16/1994 9:00,,1994,9,3.65,135.9,16.966,4.938,1.74,1.0228,164.4458,260.375,122.9868,8.7451,,1.12,223.8721139
9/16/1994 9:48,,1994,9,3.28,278.5,40.419,13.991,3.48,2.0456,210.5572,395.77,372.3498,34.4162,,1.26,524.8074602
9/16/1994 11:00,,1994,9,3.12,408.3,68.862,25.513,6.96,4.6026,83.334,647.813,554.7318,55.0095,,0.93,758.577575
9/16/1994 12:00,,1994,9,3.31,295,74.351,29.628,6.525,4.3469,385.0031,570.742,325.8666,28.4921,,0.79,489.7788194
9/17/1994 4:00,,1994,9,2.97,1106.5,195.608,51.026,13.05,11.7622,1042.786,2010.095,540.3672,40.6224,,0.25,1071.519305
9/17/1994 5:00,,1994,9,3.28,697.8,74.351,25.513,5.655,6.1368,656.6719,920.686,231.609,16.926,,0.41,524.8074602
9/17/1994 6:00,,1994,9,3.39,342.8,32.435,11.522,3.48,3.3241,508.3374,685.307,162.207,10.7198,,0.72,407.3802778
9/17/1994 7:00,,1994,9,3.49,261.1,27.445,9.053,3.045,2.8127,417.7811,587.406,135.0918,8.7451,,1.01,323.5936569
9/17/1994 8:00,,1994,9,3.58,226.9,39.421,12.345,3.915,3.8355,467.7815,520.75,145.7442,8.463,,1.09,263.0267992
9/17/1994 10:00,,1994,9,3.73,176.9,58.383,18.929,4.785,6.6482,560.0045,533.248,169.47,9.5914,,0.96,186.2087137
9/17/1994 11:00,,1994,9,4.48,261.1,141.716,47.734,10.875,13.2964,694.45,445.762,238.7106,12.1303,,0.42,33.11311215
9/17/1994 16:00,,1994,9,4.81,128.1,27.445,10.699,3.045,3.5798,230.5574,143.727,53.7462,3.3852,,0.26,15.48816619
9/17/1994 16:46,,1994,9,4.78,50,6.487,2.469,0.87,1.0228,33.88916,40.2019,10.9752,1.1284,,0.63,16.59586907
9/17/1994 19:00,,1994,9,4.98,33.2,4.491,1.646,0.87,0.7671,27.778,28.1205,8.3928,1.1284,,1.15,10.47128548
9/17/1994 19:40,,1994,9,5.24,25.6,3.493,1.646,0.87,1.0228,37.77808,20.6217,8.3928,1.1284,,1.32,5.754399373
9/17/1994 21:00,,1994,9,5.3,22.7,2.994,0.823,0.87,1.0228,33.88916,18.5387,7.263,0.8463,,0.74,5.011872336
9/17/1994 21:40,,1994,9,5.16,18.8,2.994,0.823,0.87,1.0228,26.11132,18.1221,7.263,0.8463,,0.84,6.918309709
9/17/1994 22:50,,1994,9,4.9,24,2.495,0.823,0.87,1.0228,20.00016,12.9146,6.1332,0.8463,,0.76,12.58925412
9/17/1994 23:30,,1994,9,5,20.3,2.495,0.823,0.87,1.0228,13.889,14.3727,5.0034,0.8463,,0.87,10
